method p l int.effect mode strategy n power
402 matern 2 1.5 0 GCVc average 100 0.005
403 matern 2 0.5 0 gmpml erm 100 0.005
404 matern 2 1 0 gmpml erm 100 0.015
405 matern 2 1.5 0 gmpml erm 100 0.055
406 matern 2 0.5 0 gmpml average 100 0.03
407 matern 2 1 0 gmpml average 100 0.04
408 matern 2 1.5 0 gmpml average 100 0.05
409 matern 2 0.5 0.1 loocv erm 100 0.04
410 matern 2 1 0.1 loocv erm 100 0.425
411 matern 2 1.5 0.1 loocv erm 100 0.545
412 matern 2 0.5 0.1 loocv average 100 0.02
413 matern 2 1 0.1 loocv average 100 0.375
414 matern 2 1.5 0.1 loocv average 100 0.595
415 matern 2 0.5 0.1 AICc erm 100 0.04
416 matern 2 1 0.1 AICc erm 100 0.42
417 matern 2 1.5 0.1 AICc erm 100 0.67
418 matern 2 0.5 0.1 AICc average 100 0.08
419 matern 2 1 0.1 AICc average 100 0.36
420 matern 2 1.5 0.1 AICc average 100 0.645
421 matern 2 0.5 0.1 GCVc erm 100 0.015
422 matern 2 1 0.1 GCVc erm 100 0.51
423 matern 2 1.5 0.1 GCVc erm 100 0.72
424 matern 2 0.5 0.1 GCVc average 100 0.035
425 matern 2 1 0.1 GCVc average 100 0.38
426 matern 2 1.5 0.1 GCVc average 100 0.6
427 matern 2 0.5 0.1 gmpml erm 100 0.055
428 matern 2 1 0.1 gmpml erm 100 0.525
429 matern 2 1.5 0.1 gmpml erm 100 0.745
430 matern 2 0.5 0.1 gmpml average 100 0.04
431 matern 2 1 0.1 gmpml average 100 0.445
432 matern 2 1.5 0.1 gmpml average 100 0.54
433 matern 2 0.5 0.2 loocv erm 100 0.03
434 matern 2 1 0.2 loocv erm 100 0.44
435 matern 2 1.5 0.2 loocv erm 100 0.67
436 matern 2 0.5 0.2 loocv average 100 0.045
437 matern 2 1 0.2 loocv average 100 0.415
438 matern 2 1.5 0.2 loocv average 100 0.78
439 matern 2 0.5 0.2 AICc erm 100 0.045
440 matern 2 1 0.2 AICc erm 100 0.53
441 matern 2 1.5 0.2 AICc erm 100 0.725
442 matern 2 0.5 0.2 AICc average 100 0.115
443 matern 2 1 0.2 AICc average 100 0.555
444 matern 2 1.5 0.2 AICc average 100 0.865
445 matern 2 0.5 0.2 GCVc erm 100 0.02
446 matern 2 1 0.2 GCVc erm 100 0.53
447 matern 2 1.5 0.2 GCVc erm 100 0.75
448 matern 2 0.5 0.2 GCVc average 100 0.01
449 matern 2 1 0.2 GCVc average 100 0.49
450 matern 2 1.5 0.2 GCVc average 100 0.83
451 matern 2 0.5 0.2 gmpml erm 100 0.035
452 matern 2 1 0.2 gmpml erm 100 0.695
453 matern 2 1.5 0.2 gmpml erm 100 0.785
454 matern 2 0.5 0.2 gmpml average 100 0.04
455 matern 2 1 0.2 gmpml average 100 0.55
456 matern 2 1.5 0.2 gmpml average 100 0.72
457 matern 2 0.5 0.3 loocv erm 100 0.035
458 matern 2 1 0.3 loocv erm 100 0.475
459 matern 2 1.5 0.3 loocv erm 100 0.56
460 matern 2 0.5 0.3 loocv average 100 0.015
461 matern 2 1 0.3 loocv average 100 0.42
462 matern 2 1.5 0.3 loocv average 100 0.805
463 matern 2 0.5 0.3 AICc erm 100 0.04
464 matern 2 1 0.3 AICc erm 100 0.565
465 matern 2 1.5 0.3 AICc erm 100 0.63
466 matern 2 0.5 0.3 AICc average 100 0.035
467 matern 2 1 0.3 AICc average 100 0.51
468 matern 2 1.5 0.3 AICc average 100 0.8
469 matern 2 0.5 0.3 GCVc erm 100 0.02
470 matern 2 1 0.3 GCVc erm 100 0.495
471 matern 2 1.5 0.3 GCVc erm 100 0.665
472 matern 2 0.5 0.3 GCVc average 100 0.005
473 matern 2 1 0.3 GCVc average 100 0.575
474 matern 2 1.5 0.3 GCVc average 100 0.82
475 matern 2 0.5 0.3 gmpml erm 100 0.07
476 matern 2 1 0.3 gmpml erm 100 0.59
477 matern 2 1.5 0.3 gmpml erm 100 0.8
478 matern 2 0.5 0.3 gmpml average 100 0.025
479 matern 2 1 0.3 gmpml average 100 0.54
480 matern 2 1.5 0.3 gmpml average 100 0.745
