method p l int.effect mode strategy n power test
rbf 3 1.5 0.2 loocv average 100 0.87 asym
rbf 3 1.5 0.3 loocv exp 100 0.92 asym
rbf 3 1.5 0.3 loocv average 100 0.92 asym
rbf 3 1.5 0.4 loocv exp 100 0.905 asym
rbf 3 1.5 0.4 loocv average 100 0.955 asym
rbf 3 1.5 0.5 loocv exp 100 0.92 asym
rbf 3 1.5 0.5 loocv average 100 0.95 asym
rbf 3 1.5 0.6 loocv exp 100 0.955 asym
rbf 3 1.5 0.6 loocv average 100 0.93 asym
rbf 3 1.5 0.7 loocv exp 100 0.955 asym
rbf 3 1.5 0.7 loocv average 100 0.96 asym
rbf 3 1.5 0.8 loocv exp 100 0.935 asym
rbf 3 1.5 0.8 loocv average 100 0.965 asym
rbf 3 1.5 0.9 loocv exp 100 0.89 asym
rbf 3 1.5 0.9 loocv average 100 0.89 asym
rbf 3 1.5 1 loocv exp 100 0.91 asym
rbf 3 1.5 1 loocv average 100 0.92 asym
matern_1.5 1 0.5 0 loocv exp 100 0.07 asym
matern_1.5 1 1 0 loocv exp 100 0.025 asym
matern_1.5 1 1.5 0 loocv exp 100 0.005 asym
matern_1.5 1 0.5 0 loocv average 100 0.06 asym
matern_1.5 1 1 0 loocv average 100 0.02 asym
matern_1.5 1 1.5 0 loocv average 100 0.01 asym
matern_1.5 1 0.5 0.1 loocv exp 100 0.03 asym
matern_1.5 1 1 0.1 loocv exp 100 0.3 asym
matern_1.5 1 1.5 0.1 loocv exp 100 0.31 asym
matern_1.5 1 0.5 0.1 loocv average 100 0.03 asym
matern_1.5 1 1 0.1 loocv average 100 0.355 asym
matern_1.5 1 1.5 0.1 loocv average 100 0.395 asym
matern_1.5 1 0.5 0.2 loocv exp 100 0.02 asym
matern_1.5 1 1 0.2 loocv exp 100 0.405 asym
matern_1.5 1 1.5 0.2 loocv exp 100 0.655 asym
matern_1.5 1 0.5 0.2 loocv average 100 0.01 asym
matern_1.5 1 1 0.2 loocv average 100 0.395 asym
matern_1.5 1 1.5 0.2 loocv average 100 0.665 asym
matern_1.5 1 0.5 0.3 loocv exp 100 0.02 asym
matern_1.5 1 1 0.3 loocv exp 100 0.495 asym
matern_1.5 1 1.5 0.3 loocv exp 100 0.785 asym
matern_1.5 1 0.5 0.3 loocv average 100 0.015 asym
matern_1.5 1 1 0.3 loocv average 100 0.53 asym
matern_1.5 1 1.5 0.3 loocv average 100 0.78 asym
matern_1.5 1 0.5 0.4 loocv exp 100 0.015 asym
matern_1.5 1 1 0.4 loocv exp 100 0.495 asym
matern_1.5 1 1.5 0.4 loocv exp 100 0.785 asym
matern_1.5 1 0.5 0.4 loocv average 100 0.01 asym
matern_1.5 1 1 0.4 loocv average 100 0.49 asym
matern_1.5 1 1.5 0.4 loocv average 100 0.77 asym
matern_1.5 1 0.5 0.5 loocv exp 100 0.01 asym
matern_1.5 1 1 0.5 loocv exp 100 0.495 asym
matern_1.5 1 1.5 0.5 loocv exp 100 0.78 asym
matern_1.5 1 0.5 0.5 loocv average 100 0.005 asym
matern_1.5 1 1 0.5 loocv average 100 0.455 asym
matern_1.5 1 1.5 0.5 loocv average 100 0.84 asym
matern_1.5 1 0.5 0.6 loocv exp 100 0.005 asym
matern_1.5 1 1 0.6 loocv exp 100 0.385 asym
matern_1.5 1 1.5 0.6 loocv exp 100 0.755 asym
matern_1.5 1 0.5 0.6 loocv average 100 0.01 asym
matern_1.5 1 1 0.6 loocv average 100 0.47 asym
matern_1.5 1 1.5 0.6 loocv average 100 0.835 asym
matern_1.5 1 0.5 0.7 loocv exp 100 0.01 asym
matern_1.5 1 1 0.7 loocv exp 100 0.44 asym
matern_1.5 1 1.5 0.7 loocv exp 100 0.79 asym
